"YEAR" "TRIAL" "LOCATION" "TRIAL_ID" "YEAR_LOCATION" "BLOCK" "LINE_ID" "YIELD" "GERMPLASM_TYPE" "GENOTYPE_FILE"
"1998" "E3-5" "UEPL" "1998_E3-5_UEPL" "1998-UEPL" "2" "GID_9411" 4858.33333333333 "Indica" "IND"
"1998" "E3-5" "UEPL" "1998_E3-5_UEPL" "1998-UEPL" "2" "GID_5306" 5379.16666666667 "Tropical Japonica" "JAP"
"1998" "E3-5" "UEPL" "1998_E3-5_UEPL" "1998-UEPL" "2" "GID_10396" 6850 "Tropical Japonica" "JAP"
"1998" "E3-5" "UEPL" "1998_E3-5_UEPL" "1998-UEPL" "2" "GID_16864" 6820.83333333333 "Tropical Japonica" "JAP"
"1998" "E3-5" "UEPL" "1998_E3-5_UEPL" "1998-UEPL" "3" "GID_9411" 4395.83333333333 "Indica" "IND"
"1998" "E3-5" "UEPL" "1998_E3-5_UEPL" "1998-UEPL" "3" "GID_5306" 6554.16666666667 "Tropical Japonica" "JAP"
"1998" "E3-5" "UEPL" "1998_E3-5_UEPL" "1998-UEPL" "3" "GID_10396" 6870.83333333333 "Tropical Japonica" "JAP"
"1998" "E3-5" "UEPL" "1998_E3-5_UEPL" "1998-UEPL" "3" "GID_16864" 6441.66666666667 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "1" "GID_9411" 7104.16666666667 "Indica" "IND"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "1" "GID_5306" 7441.66666666667 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "1" "GID_10396" 7329.16666666667 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "1" "GID_9162" 6437.5 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "1" "GID_13595" 5541.66666666667 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "1" "GID_4849" 4845.83333333333 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "1" "GID_10410" 6237.5 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "1" "GID_12132" 6254.16666666667 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "1" "GID_5878" 5500 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "1" "GID_12117" 5675 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "1" "GID_6784" 6437.5 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "1" "GID_14818" 6483.33333333333 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "2" "GID_9411" 6750 "Indica" "IND"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "2" "GID_5306" 5895.83333333333 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "2" "GID_10396" 6800 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "2" "GID_9162" 6625 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "2" "GID_13595" 5991.66666666667 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "2" "GID_4849" 5958.33333333333 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "2" "GID_10410" 6212.5 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "2" "GID_12132" 3937.5 "Tropical Japonica" "JAP"
"1998" "E4-1" "UEPL" "1998_E4-1_UEPL" "1998-UEPL" "2" "GID_5878" 7016.66666666667 "Tropical Japonica" "JAP"
